Country,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.DURS,SE.PRE.ENRL.TC.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.AGES,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SE.PRM.NENR,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.OENR.ZS,SE.PRM.PRIV.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.PRM.UNER.ZS,SE.SEC.AGES,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.DURS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.PROG.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE,SE.SEC.TCHR.FE.ZS,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SH.DTH.0509,SH.DTH.1014,SH.DTH.1519,SH.DTH.2024,SH.DYN.0509,SH.DYN.1014,SH.DYN.1519,SH.DYN.2024,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS
Switzerland,11,0.993939996,0.970459998,0.951099992,1.029450059,2,,102.8110123,101.7671432,103.7996674,7,96.77362061,95.67337036,96.21008301,6,514664,,,105.4764709,105.1477432,105.7887726,,,,,,,,5.509029865,,,,,,,51655,83.26396179,,402,,,,,0.082479998,13,96.63284302,93.71193695,95.13864899,7,608878,,,,,,,,102.5706787,99.94206238,105.0806198,,,,12.0506897,,,,62546,31448,50.27978897,61.37744904,62.31203079,60.47684097,,,,,,26,31,96,140,0.3,0.4,1.1,1.4,46.67641105,4953967,5.110000134,4.369999886,4.710000038,14.91095477,66.46582867
Syrian Arab Republic,9,,,,,3,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573,2963,3637,5178,7.1,8.6,11.3,16.2,16.58748967,5136172,20.40999985,5.809999943,8.229999542,31.42154081,64.07533477
Tajikistan,9,,,,,4,,,,,7,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,153,271,495,0.7,0.9,1.7,2.9,37.19067404,2322550,5.260000229,7.590000153,6.71999979,36.78428408,60.19382837
Tanzania,7,1.026059985,1.027899981,1.047909975,,2,,41.4045105,41.39212036,41.41661072,7,72.8241806,64.66072083,68.70372772,7,10111671,50.09162,50.63304,94.16869354,95.39328003,92.97080994,109.84277,108.46419,109.14532,81.32921,,,,3.900069952,87.50212097,82.39479065,84.93269348,1.70771,2.03935,1.87322,199705,50.36328888,82.35094,1895125,842001,15.85778046,1053124,19.40125084,17.6490593,14,30.1266098,29.0196209,29.56954002,6,2148466,50.82547,2140442,50.96924,,20.86254,8024,12.47507,29.43507957,30.12851906,28.75112915,26.54777,27.31307,25.79293,,,,,102982,34274,33.28153992,,,,,,,20.56001091,3.696439981,13851,4933,8624,10852,8.3,3.4,7.2,10.8,48.23539609,26304005,2.549999952,1.470000029,1.99000001,44.09823815,53.30046267
Thailand,9,1.000020027,0.988979995,0.979910016,,5,,78.99359894,79.01849365,78.9701004,6,94.13262177,92.74820709,93.42047119,6,4900785,48.52339,16.63844,99.77436066,99.77536011,99.77342224,96.75865,97.08458,96.92643,,,,,21.53314018,,,,0.81376,1.92953,1.38965,,,,,,,,,,12,84.8292923,77.40351105,81.01902771,6,6265551,48.19721,5609433,49.24744,24.86055,25.94603,656118,39.2184,117.7388077,116.5134888,118.9022293,,,,10.55959988,,,,241484,171712,71.106987,,,,,,,,,1341,2148,5655,6556,1.7,2.5,6.2,6.7,45.59243936,38908370,0.74000001,0.779999971,0.769999981,17.08698882,71.01211804
Timor-Leste,9,0.964850008,1.012899995,1.083739996,,3,31.79643,22.76609993,22.91354942,22.62421989,6,106.3441391,101.4228821,103.8459091,6,212849,48.2605,26.94886,115.3078079,113.2109985,117.334877,87.46336,91.57733,89.55834,92.30953,13.89089,18.11726,16.07759,12.9016304,93.8079071,86.00495911,89.78121948,11.17579,15.4685,13.39682,7898.257813,41.30802917,95.41421,7728,2639,2.908469915,5089,5.42208004,4.186530113,12,97.0202713,84.86396027,90.86119843,6,155832,51.32771,141712,52.26092,26.94886,26.54835,14120,41.96176,83.61746216,87.02535248,80.30130768,62.73563,67.0025,58.58363,24.57839012,,,,5869.742188,2159.385498,36.78842163,,,,,,,7.934100151,6.792950153,152,112,449,305,5,3.6,15.1,12,45.64328097,530709,6.010000229,3.200000048,4.480000019,37.78066427,57.90284343
Togo,10,0.964450002,,,0.50959003,3,28.43509,22.83068085,23.16054916,22.5025692,6,86.85414886,92.47380066,89.67256165,6,1548876,48.95802,40.14504,123.7646332,121.5187683,125.9982071,139.77626,143.5291,141.65741,90.73097,18.40013,17.40046,17.88988,30.85876083,,,,7.43678,7.6787,7.56026,38582,16.55953979,94.692,66428,48733,7.809549809,17695,2.820139885,5.308000088,12,41.11449051,54.67821121,47.92052078,7,,,711617,42.72158,,,,,,,,,,,,,,,,,,14.5239296,9.797499657,19.22620964,,,,21.76909065,5.369569778,1669,1122,1314,1444,7.6,5.7,7.8,10.3,48.14385372,2728772,2.710000038,4.550000191,3.660000086,41.3345235,55.79600849
Tonga,15,,,,,2,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,7,9,1.6,0.9,3.1,5,41.53014207,31252,3.660000086,2.650000095,3.069999933,35.41575821,58.63058035
Trinidad and Tobago,7,,,,,2,,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,27,64,128,1,1.4,3.7,7.1,42.42033174,669495,3.369999886,3.410000086,3.400000095,20.41957257,68.84547391
Tunisia,9,0.991370022,,,1.446990013,3,,,,,6,,,,6,1201736,48.02835,16.87168,115.4459686,114.9281998,115.928627,105.9685,105.05548,105.49719,,3.88531,6.50072,5.24458,6.577400208,,,,,,,71228,63.97483826,,,,,,,,12,87.32151031,68.15338135,77.38397217,7,,,962180,53.07614,13.62578,,,,,,,,,,,,,,87280,46873,53.70417023,31.74651909,41.23498154,22.80328941,,,,,,308,266,483,746,1.6,1.6,3,4.3,27.53498856,4086764,22.95999908,12.60999966,15.46000004,24.17012035,67.51420057
Turkey,12,0.988709986,0.979900002,0.975910008,0.898270011,5,,36.67242813,35.93323898,37.3782692,6,88.36860657,88.68035126,88.52777863,4,5104599,,,94.9104538,94.35991669,95.43778229,,,,,,,,4.57901001,,,,,,,297176,61.94847107,,266561,138292,5.255710125,128269,4.669320107,4.956200123,10,85.83657837,87.18042755,86.52294922,8,11279561,,,,,,,,104.4788284,103.1787491,105.7255325,,,,7.816060066,,,,687819,369013,53.64971924,113.2170715,107.0511932,119.175209,,,,,,1292,1459,2871,3216,0.9,1.1,2.1,2.4,33.01700843,32825427,13.73999977,9.489999771,10.89000034,24.64941014,66.86737692
Turkmenistan,12,,,,,5,,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,191,430,575,1.9,1.9,4.6,5.8,39.50606612,2348371,2.069999933,4.909999847,3.789999962,30.82236394,64.7510016
Tuvalu,8,0.922469974,1.014369965,1.139389992,,3,8.4375,83.33332825,80.75949097,85.78312683,6,69.42149353,87.5,78.71485901,6,1324,46.52568,15.57647,86.02989197,82.46318817,89.39394379,82.8125,78.67647,80.68182,,,,,15.48338032,,,,0.16234,0.70621,0.45317,85,80,,,,,,,,12,,,,7,1089,51.97429,1070,52.61682,7.86842,8.64286,19,15.78947,66.72794342,71.19496918,62.48506927,66.72794,71.19497,62.48507,21.30394936,,,,126,69,54.76190186,,,,,,,,,1,1,1,1,2.8,2.4,4.8,6.2,,,,,,,
Uganda,7,,,,,3,,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91701031,2.130520105,11937,6323,13336,11357,8.9,5.4,13.6,14.1,49.34161957,15932278,2.24000001,1.269999981,1.75,46.93052518,51.1284879
Ukraine,11,,,,,5,,,,,6,,,,4,1676550,48.89225,12.98011,,,,,,,,8.46978,8.43441,8.4517,0.850319982,98.3361969,99.01805878,98.68476105,0.05587,0.0887,0.07265,129163,96.64144897,,,,,,,,10,,,,7,2376848,48.657,2199778,49.47458,,7.33711,177070,38.50003,,,,,,,0.553420007,,,,323949,260998,80.56761932,,,,,,,,,406,435,939,1799,0.8,1,2.4,3.8,47.26911646,20417458,7.429999828,10.02999973,8.800000191,15.81241317,67.75290039
United Arab Emirates,6,,,,,6,,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,82,191,433,0.9,1,2.3,2.9,17.46740552,6753138,6.190000057,1.389999986,2.230000019,14.60350937,84.31148965
United Kingdom,11,0.997110009,1.01304996,1.025740027,1.269309998,4,,107.1398468,107.1048203,107.173233,5,100.3867722,100.7988815,100.5974579,6,4892502,,,100.9955521,100.8458405,101.138588,,,,,,,,28.41127014,,,,,,,279097.0938,86.24210358,,32122,19278,0.814450026,12844,0.518469989,0.663089991,11,101.2003632,101.5791016,101.3939896,7,6173690.5,,,,,,,,120.783577,122.3523788,119.2822418,,,,74.76032257,,,,369139.875,226034.4844,61.23274994,61.38288879,71.14698029,51.98603058,,,,,,297,322,942,1551,0.4,0.4,1.3,1.9,46.80893206,34331422,3.940000057,4.050000191,4,17.67808207,63.92605226
United States,12,0.998839974,0.994700015,0.990580022,1.268270016,,,72.1459198,72.70149231,71.61488342,6,95.47634125,104.5101929,100.0926971,6,24957956,,,101.2565613,101.196373,101.3142395,,,,,,,,8.787859917,,,,,,,,,,141533,76669,0.63568002,64864,0.515320003,0.574209988,12,106.0515213,100.8205872,103.3841705,6,24871356,,,,,,,,99.27558136,98.79605865,99.73565674,,,,8.949990273,,,,,,,88.29917908,102.3540421,74.89505005,,,,,,2507,3204,11218,22890,0.6,0.8,2.6,5,46.0599759,165475054,3.839999914,3.950000048,3.900000095,18.70903998,65.48330596
Upper middle income,10,0.99414,1.0065,1.02057,1.163249969,5,16.52367,75.42723846,75.02687073,75.79387665,,95.97383881,96.08699799,96.03256226,6,236000000,47.48963,18.39381,103.1875,102.8701,103.4765,100.8456,100.6355,100.7356,95.47259,,,,12.01912,94.08984,93.3823,93.71991,1.93318,2.74593,2.35995,13100000,71.42963,96.12099,7857206,4174674,3.834439993,3682532,3.078439951,3.438659906,,85.55873871,83.93052673,84.70902252,6,220000000,48.33152,172000000,49.00924,13.925,14.16773,30800000,44.53818,91.27808,92.24688,90.38742,82.24137,83.92186,80.69813,16.12518,,,,15500000,9165788,58.95163,51.79122925,56.57374954,47.33792114,,,,,,58366,55704,129328,188894,1.4,1.4,3.3,4.6,42.23252117,1460130609,5.815948813,5.813643278,5.814569862,21.16280438,69.19845987
Uruguay,14,0.990429997,1.054409981,1.110739946,,6,,94.97637939,95.09425354,94.86319733,6,104.1317062,102.3586197,103.2246475,6,296791,,,106.0172272,105.4961014,106.5152969,,,,,,,,18.14442062,,,,,,,27762,,,380,,,,,0.135690004,12,,,,6,355851,,,,,,,,121.176239,127.6752701,114.9466476,,,,11.56355,,,,,,,,,,,,,15.19997025,5.047589779,34,46,177,277,0.7,1,3.5,5.3,45.49246492,1749881,10.09000015,6.869999886,8.340000153,20.60798107,64.57749939
Uzbekistan,12,0.985050023,0.988600016,0.991079986,0.697719991,4,11.58494,27.94889069,27.43655968,28.43481064,7,102.4673233,103.551857,103.0236282,4,2485178,48.30576,21.50664,104.2329788,103.4275894,104.9970016,100.35815,102.86286,101.6438,94.59704,,,0.4024,0.238739997,99.62703705,97.09385681,98.31015015,0.00133,0.00117,0.00125,115554,91.68872833,96.84487,17322,,,,,0.726530015,11,95.20226288,96.57402802,95.90341949,8,3949245,,2582848,48.32239,8.49857,,,,94.98806763,94.55303192,95.40371704,,,,0.088799998,,,,373767,226393,60.57062149,10.07635021,8.248999596,11.8227396,,,,,,1193,1069,1925,2596,1.9,2,3.7,4.4,40.21935873,14554971,5.550000191,5.820000172,5.710000038,28.68605741,66.89480471
Vanuatu,,,,,,2,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,28,33,3,2.5,5,6.5,43.57794501,125178,1.450000048,1.919999957,1.720000029,38.84823015,57.51161678
"Venezuela, RB",17,,,,,5,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,1064,5372,7122,1.5,2,10.7,15.6,38.46770361,12588139,7.920000076,6.78000021,7.21999979,27.66665058,65.0663628
Vietnam,10,1.021829963,,,,6,17.27017,100.2349319,99.68565369,100.7254105,6,111.5494385,108.6373672,110.0212097,5,8041842,47.84365,20.27696,110.5948105,111.8538284,109.4645691,116.97477,113.74812,115.26999,,0.88309,1.52096,1.21578,1.057019949,,,,0.48907,1.12306,0.81974,396600,78.11775208,,,,,,,,11,100.7468719,94.77947235,97.6627121,7,,,7882203,50.26082,17.5546,,,,,,,,,,,,,,,,,,,,,,,14.46829987,4.167449951,1585,2119,3941,5645,1.1,1.5,3,3.7,47.85388032,57025338,1.029999971,1.279999971,1.159999967,23.17267683,69.55234487
West Bank and Gaza,10,1.002609968,1.061759949,1.101539969,1.364789963,2,16.69999,56.47925186,56.48460007,56.47414017,6,97.29250336,96.43128204,96.85253906,4,488184,48.9633,24.45322,98.60411072,98.73560333,98.47827911,101.23374,98.51635,99.84476,94.84281,1.46257,1.61868,1.54225,13.35214043,95.73634338,96.05671692,95.88359833,0.04058,0.10034,0.07108,19964,74.74453735,97.10722,13014,6032,2.49161005,6982,2.759649992,2.628590107,10,94.23602295,84.94487,89.50354004,8,764986,51.44826,759599,51.65265,18.60687,17.33404,5387,22.62855,89.48774719,93.89943695,85.24378967,87.22641,91.23447,83.37074,7.105490208,,,,44132,25037,56.73207855,44.25381088,54.34769058,34.52230072,,,,,,152,223,353,404,1.2,2,3.5,4.1,19.85459769,1214011,41.84999847,22.38999939,26.26000023,38.94736128,57.91933298
World,10,0.98104,0.98576,0.99104,1.124289989,4,17.45058,61.18706131,60.9864006,61.37469101,,88.77633667,89.65680695,89.2310791,6,730000000,48.42648,23.44631,101.1662,100.1658,102.1021,103.5473,106.5963,105.1222,89.4124,,,,18.5727,81.71106,79.22336,80.40805,2.85942,3.4028,3.13966,31800000,66.45202,90.45493,58100000,31400000,9.015390396,26700000,7.152770042,8.053079605,,76.10382843,75.16603088,75.61876678,6,597000000,47.9647,532000000,48.60941,16.87411,16.9982,62500000,42.47584,75.96327,75.60966,76.29299,66.27183,66.26578,66.2793,26.78742,,,,35000000,18900000,54.04789,38.35546112,40.98474884,35.89062881,,,,,,516524,372124,603414,759648,3.9,3,5,6.4,38.85830446,3428734191,5.531963038,5.270265203,5.371721414,25.79596685,65.33090491
"Yemen, Rep.",9,,,,,6,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4926,4454,6752,8687,6.5,6.5,10.9,14.8,7.895299109,6561778,25.32999992,11.94999981,13.01000023,39.61489027,57.50883997
Zambia,7,,,,,4,,,,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.04800987,4.618090153,3799,1929,3822,4236,7.2,4.2,9.6,13,48.29576877,7133451,13.23999977,10.85000038,12.01000023,44.93614116,52.96418082
Zimbabwe,7,,,,,2,,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0398407,5.871349812,2306,2468,3097,3952,5.4,6.8,9.9,14.8,50.92814146,6908699,5.619999886,4.5,5.070000172,42.40106624,54.65941011
