Country,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.DURS,SE.PRE.ENRL.TC.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.AGES,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SE.PRM.NENR,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.OENR.ZS,SE.PRM.PRIV.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.PRM.UNER.ZS,SE.SEC.AGES,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.DURS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.PROG.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE,SE.SEC.TCHR.FE.ZS,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SH.DTH.0509,SH.DTH.1014,SH.DTH.1519,SH.DTH.2024,SH.DYN.0509,SH.DYN.1014,SH.DYN.1519,SH.DYN.2024,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,10,0.99716,1.00254,1.007,1.14673996,5,15.16523,81.03839874,81.15624237,80.92614746,,97.67636108,99.61978912,98.67054749,6,94100000,48.73184,15.32034,102.0227,101.8743,102.1642,99.29623,98.89994,99.09329,95.5958,,,,11.83364,96.25941,95.68139,95.96247,1.1475,1.64672,1.40344,6127945,80.28162,96.6326,1243533,564324,1.253440022,679210,1.438189983,1.348019958,,93.82743835,90.67334747,92.2188797,6,114000000,48.8168,88700000,49.55188,14.0014,13.67666,19900000,45.54381,105.6971,106.0744,105.3372,89.36801,89.81395,88.94454,18.58298,,,,8207769,4783443,58.27945,75.64903259,81.7841568,69.78302765,,,,,,10149,12596,37350,63769,0.610386752,0.767139375,2.234842337,3.606472814,44.25135354,670991669,5.686013518,5.24973611,5.442283536,18.01933659,65.17874097
Oman,10,1.10066998,0.990920007,0.923309982,1.52531004,6,20.77221,52.21419144,53.62120056,50.8838501,6,103.4566727,97.56369019,100.3571014,4,278745,50.21005,9.67394,103.3920593,108.5745316,98.64388275,101.85808,98.59128,100.16944,86.25355,0.59589,0.74142,0.66835,19.7578392,98.84893799,98.80535126,98.82694244,0,0,0,28814,70.93427277,95.46999,8733,,,,,3.239140034,10,99.20813751,108.2704315,103.5489273,8,422440,48.60193,420787,48.70516,10.37394,10.21867,1653,22.32305,106.6659927,102.4613037,110.9722137,96.19256,93.15358,99.30491,13.06789017,,,,41340,28574,69.11949921,38.03620911,55.55290985,26.37033081,,,,,,91,69,125,271,1.3,1.3,2.8,3.3,15.51220201,2590638,7.190000057,0.810000002,1.799999952,22.24650599,75.36070706
Other small states,9,0.9845,1.00065,1.0271,1.336320043,4,16.25409,39.35572815,39.72652054,38.99539948,,86.76661682,83.82244873,85.26834869,6,3895434,48.95147,22.81707,108.0948,107.2401,108.928,104.0825,104.9086,104.5014,85.41373,,,,20.08657,75.8335,70.91492,73.34402,9.71503,12.79311,11.28635,168567.3,64.64638,85.59986,442406,209369,11.76978016,233038,12.77019978,12.27637959,,68.08851624,64.06276703,66.03350067,6,2118272,49.76112,1959153,50.58611,15.51576,13.96217,146518.4,38.72988,68.81466,69.75246,67.91181,,,,18.8326,,,,150633.5,72084.77,47.85441,20.39113998,24.8297596,16.47892952,,,,,,3394,2001,3707,5186,5.497947015,3.572584168,7.093524131,9.44023377,37.89147823,14061510,12.69056612,7.329683813,9.363509642,29.9385165,64.56827774
Pacific island small states,,0.98415,,,,,19.1202,55.01004028,55.51570129,54.5346489,,97.98190308,96.62983704,97.27973175,,367341.8,48.16289,23.07468,108.2748,107.3838,109.1138,107.7434,109.0161,108.3992,83.8887,,,,11.0266,78.26422,75.78367,76.97806,3.77643,5.24295,4.53663,16670.32,58.44162,84.93737,14417,7247,4.404389858,7170,4.103610039,4.249479771,,80.44317627,75.57927704,77.93868256,,,,240332,49.96846,,,,,,,,,,,,,,,,,,,,,,,,,,147,126,204,263,2.515460976,2.411611551,4.316578415,6.140334279,40.53292537,896147,2.890553106,2.632674783,2.736210238,35.03655477,60.42612785
Pakistan,12,0.844410002,0.848890007,0.852389991,0.870880008,2,,83.14241791,77.31002045,88.55419159,5,64.24922943,77.41831207,71.07129669,5,22931304,44.0147,44.0773,94.32820129,86.11134338,101.9784775,107.25756,126.53565,117.24326,67.5748,26.49967,26.30307,26.3896,34.80294037,67.38170624,64.34812927,65.67256927,1.81151,1.90699,1.86497,520252,54.21910858,68.18916,,,,,,,10,44.71641159,51.67208862,48.33433151,7,13357618,44.01411,12911242,44.37783,16.43062,20.39658,446376,33.49374,42.67465973,39.14799118,45.92734146,37.40039,34.18399,40.36689,32.47000122,,,,654895,396110,60.48450851,8.9584198,8.320440292,9.554030418,,,,,,23341,17726,26702,23032,4.7,3.9,6.2,5.6,20.13498012,72035348,4.559999943,3.960000038,4.079999924,35.2698146,60.41741109
Panama,11,,,,,6,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,122,253,410,1.4,1.7,3.6,6,40.29586781,2029893,4.989999771,3.150000095,3.890000105,27.06230432,64.8329646
Papua New Guinea,,,,,,4,,,,,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.725239754,1.930889964,1034,706,1212,1356,5,3.6,6.7,8.5,48.62511178,2606721,1.269999981,3.49000001,2.410000086,35.8159344,60.73879635
Paraguay,13,,,,,5,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,270,589,889,0.9,2,4.4,6.6,40.36505527,3534862,6.800000191,4.71999979,5.559999943,29.4405056,64.12927939
Peru,14,0.96566999,0.958109975,0.948450029,,6,19.54931,103.516922,103.4768982,103.5558624,6,94.08625793,98.12895203,96.10073853,6,3592865,49.10449,17.38724,106.9451218,105.0764008,108.8121719,105.57009,107.49468,106.53846,95.65167,5.41854,5.82903,5.62746,25.9467907,,,,2.4651,3.00811,2.74198,206638,67.47936249,98.50107,47585,,,,,1.416409969,12,97.19300079,98.75765991,97.97501373,5,2779973,48.8549,2724885,48.66198,,14.20042,55088,58.39747,106.4454117,103.6390915,109.2717514,89.30975,87.71031,90.92061,26.99435997,,,,195767,87998,44.95037079,,,,33.88491,34.22307,15.77045,17.13195038,3.723160028,793,818,1213,2330,1.4,1.5,2.3,4.3,45.86496715,18411994,3.380000114,3.00999999,3.180000067,25.79060285,66.12100436
